,state,district,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,telangana,adilabad,0.0,0.0,15.2,3.5,22.9,244.5,118.9,272.1,84.9,75.9,8.0,0.5
1,andhra pradesh,anantpur,0.2,0.0,6.2,9.2,44.2,60.8,31.3,96.1,195.9,208.8,8.0,0.5
2,andaman and nicobar islands,andaman,10.2,163.2,364.8,431.2,343.0,199.6,320.9,741.4,199.0,72.2,0.0,0.0
3,arunachal pradesh,anjaw,10.2,163.2,364.8,431.2,343.0,199.6,320.9,741.4,199.0,72.2,0.0,0.0
4,bihar,araria,0.0,0.0,49.0,18.9,93.9,143.4,320.9,741.4,199.0,72.2,0.0,0.0
5,bihar,arwal,0.0,0.0,4.3,8.4,11.4,20.3,292.9,101.4,113.1,0.0,0.0,0.0
6,bihar,aurangabad_br,0.0,0.0,4.2,3.4,24.7,41.8,467.6,262.4,95.9,4.7,0.0,0.0
7,assam,baksa,2.7,56.5,60.0,217.2,219.9,484.8,207.6,406.0,318.4,61.8,1.6,0.0
8,bihar,banka,0.0,0.0,7.8,24.7,80.2,89.7,398.5,235.2,238.8,130.5,0.0,0.0
9,assam,barpeta,0.0,41.5,56.8,352.3,215.1,542.6,391.0,679.9,645.8,204.4,10.1,0.0
10,bihar,begusarai,0.0,0.0,20.7,16.9,62.5,53.5,314.0,289.6,109.0,73.0,0.0,0.0
11,bihar,bhabua,0.0,0.0,1.4,0.0,0.4,53.0,424.4,294.4,55.6,0.0,0.0,0.0
12,bihar,bhagalpur,4.0,0.0,18.4,22.6,111.3,66.8,377.5,319.3,216.0,272.3,0.1,0.0
13,bihar,bhojpur,0.0,0.0,0.0,7.4,28.6,88.2,222.6,110.7,124.5,2.3,0.0,0.0
14,assam,bongaigaon,0.0,50.8,60.8,390.2,221.6,394.0,404.5,1083.8,766.2,304.6,4.0,0.0
15,bihar,buxar,0.0,0.0,0.0,20.0,58.3,17.1,431.1,217.2,94.0,27.0,0.0,0.0
16,assam,cachar,0.0,38.5,318.7,408.6,306.2,584.2,480.0,564.5,200.3,362.7,10.2,101.0
17,chandigarh,chandigarh,137.0,1.6,22.0,10.5,5.7,103.1,195.2,309.4,145.1,0.0,0.0,14.8
18,arunachal pradesh,changlang,3.1,40.6,152.0,258.8,201.6,197.4,315.7,288.7,197.8,122.7,19.7,0.0
19,chhattisgarh,balod,0.0,0.0,24.5,0.0,11.4,284.1,443.8,355.2,283.4,22.6,0.0,0.0
20,chhattisgarh,baloda bazar,0.0,0.0,4.3,0.0,0.0,93.0,218.7,221.7,126.6,26.6,0.0,0.0
21,chhattisgarh,bastar,0.0,0.0,1.9,13.4,78.6,268.0,441.6,421.9,221.3,136.4,0.0,0.0
