,state,label,modal_price
0,andaman and nicobar,amaranthus,7000.0
1,andaman and nicobar,banana - green,5000.0
2,andaman and nicobar,bhindi(ladies finger),7000.0
3,andaman and nicobar,bitter gourd,7000.0
4,andaman and nicobar,black pepper,120000.0
5,andaman and nicobar,bottle gourd,3500.0
6,andaman and nicobar,brinjal,7500.0
7,andaman and nicobar,cabbage,6500.0
8,andaman and nicobar,carrot,10000.0
9,andaman and nicobar,cauliflower,11000.0
10,andaman and nicobar,cluster beans,9000.0
11,andaman and nicobar,coconut,5600.0
12,andaman and nicobar,colacasia,6000.0
13,andaman and nicobar,onion,3000.0
14,andaman and nicobar,potato,3000.0
15,andhra pradesh,bengal gram(gram)(whole),4600.0
16,andhra pradesh,jowar(sorghum),1900.0
17,andhra pradesh,paddy(dhan)(common),1855.0
18,andhra pradesh,tomato,560.0
19,assam,arecanut(betelnut/supari),2200.0
20,assam,arhar (tur/red gram)(whole),5850.0
21,assam,bitter gourd,5950.0
22,assam,black gram (urd beans)(whole),4400.0
23,assam,bottle gourd,850.0
24,assam,brinjal,966.6666666666666
25,assam,cabbage,516.6666666666666
26,assam,carrot,1025.0
27,assam,cauliflower,1675.0
28,assam,cluster beans,4100.0
29,assam,cucumbar(kheera),1775.0
30,assam,field pea,2900.0
31,assam,french beans (frasbean),2250.0
32,assam,garlic,4750.0
33,assam,green chilli,2400.0
34,assam,green gram (moong)(whole),6500.0
35,assam,jute,3350.0
36,assam,knool khol,950.0
37,assam,lentil (masur)(whole),7000.0
38,assam,maida atta,2370.0
39,assam,maize,1800.0
40,assam,masur dal,6200.0
41,assam,mustard,3250.0
42,assam,onion,1150.0
43,assam,potato,633.3333333333334
44,assam,pumpkin,775.0
45,assam,raddish,975.0
46,assam,rice,2942.8571428571427
47,assam,ridgeguard(tori),4100.0
48,assam,tomato,1300.0
49,assam,wheat atta,2550.0
50,chattisgarh,dry chillies,4200.0
51,chattisgarh,groundnut,4900.0
52,chattisgarh,paddy(dhan)(common),1500.0
53,goa,arecanut(betelnut/supari),20750.0
54,gujarat,arhar (tur/red gram)(whole),4850.0
55,gujarat,bajra(pearl millet/cumbu),1965.0
56,gujarat,bhindi(ladies finger),3257.0
57,gujarat,bitter gourd,4900.0
58,gujarat,bottle gourd,1506.25
59,gujarat,brinjal,952.0
60,gujarat,cabbage,991.6666666666666
61,gujarat,capsicum,1950.0
62,gujarat,carrot,837.5
63,gujarat,castor seed,4870.0
64,gujarat,cauliflower,1533.3333333333333
65,gujarat,coriander(leaves),1912.5
66,gujarat,cotton,5230.0
67,gujarat,cowpea(veg),3144.75
68,gujarat,cucumbar(kheera),2141.6666666666665
69,gujarat,drumstick,2437.5
70,gujarat,elephant yam (suran),2237.5
71,gujarat,ginger(green),6200.0
72,gujarat,gram raw(chholia),2000.0
73,gujarat,green chilli,3000.0
74,gujarat,guar,3400.0
75,gujarat,guar seed(cluster beans seed),4010.0
76,gujarat,indian beans (seam),1775.0
77,gujarat,leafy vegetable,750.0
78,gujarat,lemon,3050.0
79,gujarat,little gourd (kundru),3350.0
80,gujarat,maize,1875.0
81,gujarat,methi(leaves),837.5
82,gujarat,mint(pudina),1300.0
83,gujarat,onion,600.0
84,gujarat,onion green,1225.0
85,gujarat,paddy(dhan)(common),1519.4
86,gujarat,papaya (raw),850.0
87,gujarat,peas cod,1462.5
88,gujarat,pegeon pea (arhar fali),3067.0
89,gujarat,pointed gourd (parval),5250.0
90,gujarat,potato,700.0
91,gujarat,pumpkin,950.0
92,gujarat,raddish,850.0
93,gujarat,ridgeguard(tori),2750.0
94,gujarat,round gourd,1400.0
95,gujarat,spinach,475.0
96,gujarat,sponge gourd,1725.0
97,gujarat,surat beans (papadi),2811.0
98,gujarat,sweet potato,2016.6666666666667
99,gujarat,tinda,3012.5
100,gujarat,tomato,1358.1666666666667
101,gujarat,wheat,1900.0
102,haryana,apple,6500.0
103,haryana,banana,2666.6666666666665
104,haryana,ber(zizyphus/borehannu),2150.0
105,haryana,bhindi(ladies finger),6000.0
106,haryana,bottle gourd,2700.0
107,haryana,cabbage,500.0
108,haryana,carrot,562.5
109,haryana,cauliflower,1416.6666666666667
110,haryana,chikoos(sapota),3500.0
111,haryana,coriander(leaves),1805.0
112,haryana,cucumbar(kheera),2200.0
113,haryana,garlic,3000.0
114,haryana,ginger(green),8500.0
115,haryana,grapes,3625.0
116,haryana,green chilli,3950.0
117,haryana,kinnow,1416.6666666666667
118,haryana,leafy vegetable,1000.0
119,haryana,methi(leaves),1410.0
120,haryana,onion,1250.0
121,haryana,orange,2400.0
122,haryana,papaya,1650.0
123,haryana,peas wet,1200.0
124,haryana,pomegranate,4583.333333333333
125,haryana,potato,586.8333333333334
126,haryana,raddish,762.5
127,haryana,spinach,732.5
128,haryana,tinda,1550.0
129,haryana,tomato,1562.5
130,himachal pradesh,apple,6833.333333333333
131,himachal pradesh,banana,2385.0
132,himachal pradesh,ber(zizyphus/borehannu),2500.0
133,himachal pradesh,bhindi(ladies finger),5466.666666666667
134,himachal pradesh,bottle gourd,2662.5
135,himachal pradesh,brinjal,2212.5
136,himachal pradesh,cabbage,762.5
137,himachal pradesh,capsicum,4800.0
138,himachal pradesh,carrot,925.0
139,himachal pradesh,cauliflower,1275.0
140,himachal pradesh,coriander(leaves),1716.6666666666667
141,himachal pradesh,cucumbar(kheera),5150.0
142,himachal pradesh,french beans (frasbean),4883.333333333333
143,himachal pradesh,garlic,5300.0
144,himachal pradesh,ginger(dry),9800.0
145,himachal pradesh,ginger(green),8875.0
146,himachal pradesh,grapes,6250.0
147,himachal pradesh,green chilli,5850.0
148,himachal pradesh,guava,5325.0
149,himachal pradesh,kinnow,2162.5
150,himachal pradesh,lemon,5300.0
151,himachal pradesh,mashrooms,14750.0
152,himachal pradesh,methi(leaves),950.0
153,himachal pradesh,mousambi(sweet lime),4625.0
154,himachal pradesh,onion,1033.3333333333333
155,himachal pradesh,orange,3875.0
156,himachal pradesh,papaya,2550.0
157,himachal pradesh,peas cod,1650.0
158,himachal pradesh,peas wet,2083.3333333333335
159,himachal pradesh,pineapple,3125.0
160,himachal pradesh,pomegranate,6416.666666666667
161,himachal pradesh,potato,937.5
162,himachal pradesh,pumpkin,1725.0
163,himachal pradesh,raddish,662.5
164,himachal pradesh,spinach,1262.5
165,himachal pradesh,squash(chappal kadoo),1900.0
166,himachal pradesh,tomato,2275.0
167,himachal pradesh,turnip,1200.0
168,jammu and kashmir,cauliflower,800.0
169,jammu and kashmir,cucumbar(kheera),1600.0
170,jammu and kashmir,knool khol,1250.0
171,karnataka,beans,3350.0
172,karnataka,beetroot,1500.0
173,karnataka,bhindi(ladies finger),3400.0
174,karnataka,bitter gourd,3800.0
175,karnataka,brinjal,1300.0
176,karnataka,cabbage,1250.0
177,karnataka,capsicum,3800.0
178,karnataka,carrot,1400.0
179,karnataka,cauliflower,1200.0
180,karnataka,chilly capsicum,4250.0
181,karnataka,copra,9000.0
182,karnataka,cucumbar(kheera),1750.0
183,karnataka,drumstick,2900.0
184,karnataka,ginger(green),5500.0
185,karnataka,green avare (w),2900.0
186,karnataka,green chilli,3800.0
187,karnataka,knool khol,1400.0
188,karnataka,papaya,1300.0
189,karnataka,peas wet,3000.0
190,karnataka,raddish,1100.0
191,karnataka,ridgeguard(tori),3700.0
192,karnataka,seemebadnekai,1500.0
193,karnataka,snakeguard,1400.0
194,karnataka,suvarna gadde,2500.0
195,karnataka,tomato,855.6666666666666
196,karnataka,water melon,1400.0
197,kerala,amaranthus,2406.25
198,kerala,amla(nelli kai),3800.0
199,kerala,amphophalus,2540.0
200,kerala,apple,11000.0
201,kerala,arecanut(betelnut/supari),21000.0
202,kerala,ashgourd,1931.8181818181818
203,kerala,banana,3194.4444444444443
204,kerala,banana - green,4210.0
205,kerala,beetroot,2366.6666666666665
206,kerala,bhindi(ladies finger),3820.8333333333335
207,kerala,bitter gourd,4712.5
208,kerala,black pepper,29250.0
209,kerala,bottle gourd,1660.0
210,kerala,brinjal,2881.818181818182
211,kerala,cabbage,2250.0
212,kerala,capsicum,7100.0
213,kerala,carrot,3333.3333333333335
214,kerala,cashewnuts,10100.0
215,kerala,cauliflower,3000.0
216,kerala,cluster beans,3400.0
217,kerala,coconut,3633.3333333333335
218,kerala,coconut oil,18150.0
219,kerala,coconut seed,3475.0
220,kerala,colacasia,4600.0
221,kerala,copra,10216.666666666666
222,kerala,cowpea(veg),3500.0
223,kerala,cucumbar(kheera),2150.0
224,kerala,drumstick,4200.0
225,kerala,duster beans,3600.0
226,kerala,elephant yam (suran),2380.0
227,kerala,french beans (frasbean),3050.0
228,kerala,garlic,7100.0
229,kerala,ginger(green),7666.666666666667
230,kerala,green chilli,3550.0
231,kerala,indian beans (seam),4300.0
232,kerala,lemon,3050.0
233,kerala,little gourd (kundru),4000.0
234,kerala,long melon(kakri),2700.0
235,kerala,mango,3500.0
236,kerala,mango (raw-ripe),2833.3333333333335
237,kerala,onion,1941.6666666666667
238,kerala,orange,5900.0
239,kerala,paddy(dhan)(common),1850.0
240,kerala,pepper garbled,30125.0
241,kerala,potato,2262.5
242,kerala,pumpkin,1616.6666666666667
243,kerala,ridgeguard(tori),5000.0
244,kerala,rubber,12350.0
245,kerala,snakeguard,2257.1428571428573
246,kerala,sweet potato,2600.0
247,kerala,tapioca,2725.0
248,kerala,tomato,2012.5
249,kerala,turmeric (raw),2100.0
250,madhya pradesh,apple,2100.0
251,madhya pradesh,banana,1000.0
252,madhya pradesh,bhindi(ladies finger),1375.0
253,madhya pradesh,bitter gourd,1450.0
254,madhya pradesh,bottle gourd,1200.0
255,madhya pradesh,brinjal,1150.0
256,madhya pradesh,cabbage,1075.0
257,madhya pradesh,carrot,450.0
258,madhya pradesh,cauliflower,1100.0
259,madhya pradesh,coriander(leaves),975.0
260,madhya pradesh,cotton,5400.0
261,madhya pradesh,green chilli,1750.0
262,madhya pradesh,green gram dal (moong dal),3650.0
263,madhya pradesh,linseed,3475.0
264,madhya pradesh,methi(leaves),1300.0
265,madhya pradesh,mustard,3250.0
266,madhya pradesh,niger seed (ramtil),4150.0
267,madhya pradesh,onion,650.0
268,madhya pradesh,orange,1000.0
269,madhya pradesh,paddy(dhan)(common),1458.3333333333333
270,madhya pradesh,potato,750.0
