,state,district,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,N,P,K
0,andhra pradesh,adilabad,0.0,0.0,15.2,3.5,22.9,244.5,118.9,272.1,84.9,75.9,8.0,0.5,L,L,H
1,bihar,begusarai,0.0,0.0,20.7,16.9,62.5,53.5,314.0,289.6,109.0,73.0,0.0,0.0,M,M,M
2,bihar,bhagalpur,4.0,0.0,18.4,22.6,111.3,66.8,377.5,319.3,216.0,272.3,0.1,0.0,L,M,M
3,bihar,bhojpur,0.0,0.0,0.0,7.4,28.6,88.2,222.6,110.7,124.5,2.3,0.0,0.0,M,M,M
4,assam,bongaigaon,0.0,50.8,60.8,390.2,221.6,394.0,404.5,1083.8,766.2,304.6,4.0,0.0,L,M,L
5,assam,cachar,0.0,38.5,318.7,408.6,306.2,584.2,480.0,564.5,200.3,362.7,10.2,101.0,M,M,L
6,chhattisgarh,bastar,0.0,0.0,1.9,13.4,78.6,268.0,441.6,421.9,221.3,136.4,0.0,0.0,L,L,L
7,chhattisgarh,dhamtari,0.0,0.2,22.6,0.0,20.8,169.6,304.4,319.2,277.2,67.8,0.0,0.0,L,L,M
8,chhattisgarh,durg,1.8,0.0,11.4,0.0,18.2,124.4,192.8,278.6,151.4,66.4,0.0,0.0,L,M,H
9,chhattisgarh,jashpur,0.0,1.0,0.0,0.0,23.5,177.7,586.1,268.3,165.2,28.8,0.0,0.0,M,M,H
10,chhattisgarh,kanker,0.0,0.0,0.0,0.0,0.0,195.1,342.8,273.9,224.1,109.1,0.0,0.0,L,L,L
11,chhattisgarh,korba,5.3,0.0,0.0,0.0,13.3,137.0,463.6,303.4,249.7,30.3,1.0,0.0,M,L,H
12,chhattisgarh,koriya,0.0,2.9,0.0,0.0,2.3,97.6,355.1,142.7,130.6,21.2,0.0,0.0,M,M,H
13,chhattisgarh,raipur,3.9,0.0,5.8,0.0,6.0,196.9,138.4,228.9,224.9,62.6,0.0,0.0,L,L,M
14,chhattisgarh,rajnandgaon,0.0,0.0,15.9,0.0,11.5,137.5,269.7,177.2,140.0,47.6,0.0,0.0,L,M,M
15,assam,chirang,0.4,26.6,63.8,458.2,424.5,837.9,686.0,1198.8,858.0,316.2,25.4,0.0,L,M,L
16,bihar,darbhanga,0.0,0.0,27.6,54.0,138.0,108.3,432.4,443.4,66.9,1.9,0.0,0.0,L,M,M
17,assam,darrang,19.0,0.0,5.0,5.0,16.0,98.0,143.8,201.6,141.4,0.0,0.0,0.0,L,M,M
18,assam,dhemaji,2.0,70.0,90.0,285.0,281.0,486.0,704.0,446.0,419.0,161.9,0.0,0.0,M,M,M
19,assam,dhubri,0.8,8.2,86.4,445.1,270.6,457.1,304.6,353.6,399.3,161.9,0.0,0.0,M,M,M
20,assam,dibrugarh,3.5,97.2,117.1,238.1,316.0,283.8,461.1,280.8,269.3,190.6,0.9,1.5,M,M,H
21,bihar,east champaran,3.2,0.0,23.8,7.9,87.9,84.9,338.3,249.4,128.9,0.0,0.0,0.0,M,M,M
22,bihar,gaya,0.6,0.0,11.7,0.0,15.5,28.4,324.1,281.6,101.2,5.0,0.3,0.0,L,L,L
23,assam,golaghat,0.0,49.5,134.0,165.8,262.8,224.4,396.9,227.5,212.3,149.9,4.1,0.0,M,M,L
24,bihar,gopalganj,2.1,0.0,10.6,7.5,60.3,95.9,379.9,178.9,190.6,4.5,0.0,0.0,L,M,M
25,gujarat,amreli,0.0,0.0,0.0,0.6,0.0,74.1,309.6,111.5,66.4,29.9,0.0,3.9,L,M,H
26,gujarat,anand,0.0,0.0,0.0,0.0,0.9,95.6,376.8,168.7,59.3,0.0,0.0,1.8,M,M,H
27,gujarat,banaskantha,0.0,0.0,0.0,0.1,0.3,76.8,939.7,95.0,25.3,0.0,0.0,0.6,L,H,M
28,gujarat,bharuch,0.0,0.0,0.0,0.0,0.0,181.5,265.2,234.7,62.5,21.6,0.0,6.3,L,H,H
29,gujarat,dahod,0.0,0.0,0.0,0.0,1.0,111.2,363.2,113.0,58.7,1.2,0.0,6.2,M,H,H
30,gujarat,gandhinagar,0.0,0.0,0.0,0.0,0.5,70.9,889.2,144.8,94.9,0.0,0.0,6.9,L,M,H
31,gujarat,jamnagar,0.0,0.0,0.0,0.0,0.0,79.2,426.2,156.5,6.7,0.0,0.0,0.0,L,M,H
32,gujarat,junagadh,0.0,0.0,0.0,0.0,0.0,129.3,366.0,291.2,82.2,8.4,0.0,1.5,H,M,H
33,gujarat,kheda,0.0,0.0,0.0,0.0,0.0,104.8,518.8,154.7,77.5,2.0,0.0,1.6,M,M,H
34,gujarat,kutch,0.1,0.1,0.0,0.0,0.0,58.9,295.4,104.3,34.5,0.0,0.0,0.0,L,M,M
35,gujarat,narmada,0.0,0.0,0.0,0.0,0.0,205.2,421.1,252.3,61.5,25.3,0.0,15.4,L,H,H
36,gujarat,navsari,0.0,0.0,0.0,0.0,0.0,288.7,862.2,331.5,133.5,34.3,0.0,43.5,M,H,H
37,gujarat,panchmahal,0.0,0.0,0.0,0.0,0.0,104.3,509.6,143.0,78.7,2.6,0.0,6.9,M,H,H
38,gujarat,patan,0.0,0.0,0.0,0.0,0.0,89.1,721.6,98.3,20.8,0.0,0.0,2.2,L,H,H
39,gujarat,porbandar,0.0,0.0,0.0,0.0,0.0,167.0,201.0,210.3,76.0,0.0,0.0,0.0,H,H,H
40,gujarat,rajkot,0.0,0.0,0.0,0.0,1.4,139.0,448.4,165.3,68.0,0.0,0.0,0.2,H,M,H
41,gujarat,sabarkantha,0.0,0.0,0.0,0.0,0.0,98.2,657.8,173.2,34.7,0.0,0.0,5.6,L,M,M
42,gujarat,surat,0.0,0.0,0.0,0.0,0.1,240.9,518.7,293.1,113.1,57.7,0.0,20.1,L,M,H
43,gujarat,surendranagar,0.0,0.0,0.0,0.0,0.0,93.2,584.5,141.7,18.6,0.0,0.0,1.6,L,H,H
44,gujarat,vadodara,0.0,0.0,0.0,0.0,0.2,91.4,320.1,118.2,39.7,1.0,0.0,6.5,L,M,M
45,gujarat,valsad,0.0,0.0,0.0,0.0,0.6,486.1,1278.1,570.4,211.9,89.3,0.0,69.5,M,H,H
46,andhra pradesh,guntur,0.0,0.0,6.9,2.1,40.5,169.1,139.9,186.7,145.1,93.7,7.6,0.0,L,L,H
47,assam,hailakandi,0.0,57.5,239.3,464.6,283.5,593.4,287.6,473.8,149.2,176.9,7.4,87.5,M,M,L
48,haryana,bhiwani,16.6,0.0,6.5,6.5,5.3,103.1,70.9,44.0,27.3,0.0,8.8,2.4,L,L,H
49,haryana,faridabad,16.3,0.0,14.3,4.0,31.0,129.7,150.0,36.6,279.1,0.0,0.6,5.0,L,L,M
51,haryana,gurgaon,28.8,0.0,2.4,2.8,15.8,97.3,61.2,33.4,65.0,0.0,0.0,1.3,L,L,M
52,haryana,hisar,23.0,0.0,4.8,1.4,5.3,132.8,47.6,43.2,24.3,0.0,1.5,3.5,L,L,M
53,haryana,jhajjar,20.1,0.0,0.9,1.4,11.5,188.7,122.6,47.5,34.7,0.0,0.1,1.1,L,L,H
54,haryana,jind,46.0,0.0,7.3,1.5,6.5,150.0,44.2,82.2,51.5,0.0,2.2,3.7,L,L,H
55,haryana,kaithal,51.9,1.0,1.8,0.5,5.5,118.3,46.8,124.9,121.7,0.0,0.0,3.5,L,L,H
56,haryana,karnal,66.5,0.0,9.8,2.7,11.0,169.1,82.0,108.4,197.8,0.0,0.7,6.4,L,L,M
57,haryana,kurukshetra,49.7,0.3,9.5,6.3,0.9,131.5,47.1,104.4,158.9,0.0,0.0,5.5,L,L,H
58,haryana,mahendragarh,17.2,0.0,3.3,8.0,33.5,147.4,73.0,58.9,35.9,0.0,0.0,1.6,L,M,H
59,haryana,panchkula,83.9,1.2,10.5,6.7,1.6,50.4,67.0,193.4,95.0,0.0,0.0,18.0,L,L,M
60,haryana,panipat,40.4,0.2,8.0,0.7,8.3,94.3,67.8,71.6,81.7,0.0,0.0,4.0,L,L,H
61,haryana,rewari,36.7,2.0,3.3,0.0,24.3,131.7,83.2,111.6,38.0,0.0,0.0,2.3,L,L,M
62,haryana,rohtak,24.6,0.0,8.8,0.6,5.7,128.2,30.8,43.9,52.1,0.0,0.5,2.7,M,M,M
63,haryana,sirsa,10.0,0.0,1.5,0.0,4.5,79.7,13.0,15.3,63.6,0.0,4.7,3.0,L,L,H
64,haryana,yamuna nagar,87.9,2.3,23.9,23.5,12.8,186.7,162.7,297.6,207.8,0.0,0.0,11.3,L,L,M
65,himachal pradesh,chamba,187.9,88.3,76.1,105.2,75.7,130.7,277.9,196.8,90.2,0.0,2.3,69.0,H,M,L
66,himachal pradesh,kangra,114.3,30.9,36.6,45.5,54.6,220.3,637.4,636.3,134.3,2.3,0.3,80.3,M,L,L
67,himachal pradesh,kinnaur,135.0,38.6,69.5,121.1,17.4,39.4,41.9,27.5,51.6,0.1,21.5,29.9,H,H,L
68,himachal pradesh,mandi,135.3,32.2,41.1,61.2,111.1,162.6,467.8,430.7,134.7,0.0,1.4,52.0,M,L,M
69,himachal pradesh,shimla,119.5,19.9,59.7,77.5,118.9,146.1,189.2,183.3,126.8,0.0,2.4,24.8,H,L,M
70,himachal pradesh,solan,252.9,10.0,37.8,52.2,80.1,184.1,207.5,306.7,133.6,0.0,0.6,28.4,H,M,M
71,himachal pradesh,una,94.2,12.2,19.6,42.5,41.2,126.7,224.7,588.9,79.0,0.0,0.8,40.4,M,L,L
72,andhra pradesh,hyderabad,0.0,0.0,2.5,18.5,42.6,163.3,138.8,250.5,155.7,248.4,0.0,0.0,M,L,H
73,bihar,jahanabad,0.0,0.0,0.8,0.0,21.0,133.5,314.2,128.3,146.5,0.0,0.0,0.0,L,L,L
74,bihar,jamui,0.0,0.0,0.0,8.6,97.7,86.6,398.4,186.3,68.5,237.8,0.0,0.0,L,M,M
75,assam,kamrup,0.0,6.5,157.1,175.4,110.8,271.2,268.6,171.4,163.9,137.8,7.6,5.7,M,M,M
76,assam,karimganj,0.0,6.5,157.1,175.4,110.8,271.2,268.6,171.4,163.9,137.8,7.6,5.7,M,M,L
77,andhra pradesh,karimnagar,0.0,0.0,3.6,1.8,7.2,197.9,148.8,177.3,75.8,123.0,2.5,0.8,L,L,H
78,karnataka,bidar,0.0,0.0,35.4,1.5,10.6,212.0,75.9,221.8,132.1,136.8,29.0,0.0,M,M,H
79,karnataka,chitradurga,0.0,0.0,1.1,11.3,41.1,35.1,47.2,68.0,183.0,194.3,1.8,0.1,M,M,H
80,karnataka,dharwad,0.0,0.0,4.0,10.3,78.0,58.1,109.8,43.7,182.1,87.6,7.0,0.1,H,M,H
81,karnataka,gadag,0.0,0.0,2.6,5.7,73.0,34.3,41.7,74.4,194.1,121.6,8.7,2.1,H,M,H
82,karnataka,hassan,8.0,0.0,18.4,51.1,154.0,80.7,103.2,139.6,218.4,108.3,13.7,8.9,M,L,H
83,karnataka,haveri,0.0,0.0,1.4,43.7,73.0,54.6,124.3,70.3,217.0,169.4,4.5,0.0,H,M,H
